"gene_id"	"gene_name"	"count"	"CPM"
"ENSG00000228750.6"	"LINC01672"	3	0.137862843333616
"ENSG00000284744.1"	"AL591163.1"	11.00305	0.505637252780647
"ENSG00000237436.1"	"CAMTA1-DT"	39	1.79221696333701
"ENSG00000171735.18"	"CAMTA1"	1939.88316	89.1459360575331
"ENSG00000227950.1"	"AL590128.1"	1	0.0459542811112053
"ENSG00000237365.1"	"AL512330.1"	4	0.183817124444821
"ENSG00000207056.1"	"RNU1-8P"	0	0
"ENSG00000237402.1"	"CAMTA1-IT1"	0	0
"ENSG00000237728.2"	"Z97987.1"	1	0.0459542811112053
"ENSG00000225126.1"	"AL365194.1"	0	0
"ENSG00000270171.1"	"AL359881.3"	0	0
"ENSG00000270035.1"	"AL359881.2"	0	0
"ENSG00000269978.1"	"AL359881.1"	0	0
"ENSG00000049245.12"	"VAMP3"	197.30494	9.06700667738949
"ENSG00000269925.1"	"Z98884.2"	3	0.137862843333616
"ENSG00000049246.14"	"PER3"	4943.86311	227.191675132258
"ENSG00000236266.1"	"Z98884.1"	273	12.545518743359
"ENSG00000049247.13"	"UTS2"	21.00203	0.965133190525966
"ENSG00000049249.8"	"TNFRSF9"	3.333333	0.153180921719257
"ENSG00000270330.1"	"AL009183.1"	0	0
"ENSG00000116288.12"	"PARK7"	537.898266	24.7187281249939
"ENSG00000200344.1"	"RF00019"	0	0
"ENSG00000284747.1"	"AL034417.4"	1949.59911	89.5924255550956
"ENSG00000284716.1"	"AL034417.3"	436	20.0360665644855
"ENSG00000116285.12"	"ERRFI1"	23564.39133	1082.88466339327
"ENSG00000238290.1"	"AL034417.2"	597.607847	27.4626389953001
"ENSG00000232848.1"	"AL034417.1"	3	0.137862843333616
"ENSG00000229305.1"	"AL358876.1"	2.00746	0.0922513811595001
"ENSG00000227634.2"	"LINC01714"	54.09919	2.4860893851485
"ENSG00000200975.1"	"RNU1-7P"	0	0
"ENSG00000233645.1"	"AL358876.2"	0	0
